termo,query_api,tipo,did,handle,data,ano,texto,uri
apply,apliquei vaga,calque,did:plc:yju3vf37z3iadtm6tcel3qwk,yeyniq.bsky.social,2026-03-11T16:30:54.221Z,2026,"diário de uma desempregada em tempos de IA✨ dia 01: atualizei linkedin contra a minha vontade, fiz um currículo do zero, me apliquei pra uma vaga no gupi e fiz uma entrevista",at://did:plc:yju3vf37z3iadtm6tcel3qwk/app.bsky.feed.post/3mgscoit5pk23
apply,apliquei vaga,calque,did:plc:xofawxzgdglv7b4v2udimb73,ju14x.bsky.social,2026-03-04T18:15:41.344Z,2026,"fodase apliquei pra uma vaga gringa vamo ver no q dá, eu crio MEI e o krl todo se necessário",at://did:plc:xofawxzgdglv7b4v2udimb73/app.bsky.feed.post/3mgavbghmcs26
apply,apliquei vaga,calque,did:plc:ppxajwbcpgdjzr55vpdk2ebs,uroboloss.bsky.social,2026-01-29T20:01:25.374Z,2026,"""eu apliquei pra uma vaga"" é outro que ta ficando mais comum e me mata",at://did:plc:ppxajwbcpgdjzr55vpdk2ebs/app.bsky.feed.post/3mdlld6wk4c2g
apply,apliquei vaga,calque,did:plc:3qtl2r4mtaqe3f5rcbrexyn5,rogeresta.bsky.social,2026-01-23T17:40:34.621Z,2026,Mas olha só  Ontem eu apliquei para uma vaga,at://did:plc:3qtl2r4mtaqe3f5rcbrexyn5/app.bsky.feed.post/3md4ansvjn22z
apply,apliquei vaga,calque,did:plc:xa7ajtwbhh2y5vu64eidf34p,verderranho.bsky.social,2026-01-13T13:29:38.417Z,2026,"além dessas duas tem uma que me irrita demais é:  ""eu apliquei para essa vaga"" eu vou aplicar minha pica no seu cu isso sim",at://did:plc:xa7ajtwbhh2y5vu64eidf34p/app.bsky.feed.post/3mccnxvl5g22u
apply,apliquei vaga,calque,did:plc:253vuxzijuc3xrt7zech2b34,elonsaur.com,2025-11-25T01:57:34.610Z,2025,Hoje apliquei pra uma vaga que não falavam absolutamente nada sobre qual linguagem de programação eles usam mas pelo salário e benefícios eu aprendo qualquer coisa,at://did:plc:253vuxzijuc3xrt7zech2b34/app.bsky.feed.post/3m6gahbsfmk2b
apply,apliquei vaga,calque,did:plc:5wgkac7u3tq2tpz5rmlkgnbl,adorodogs.bsky.social,2025-09-28T14:16:20.158Z,2025,uma vez eu apliquei pra uma vaga de suporte de produto em um banco (fintech) e o VR era 1.700!!!,at://did:plc:5wgkac7u3tq2tpz5rmlkgnbl/app.bsky.feed.post/3lzvoov7blk2o
apply,apliquei vaga,calque,did:plc:rxq4xbzeebgjtk3whhviwd2u,lnbentes.bsky.social,2025-09-01T12:20:47.098Z,2025,"Apliquei numa vaga de engenharia elétrica a quatro anos atrás, hoje que me responderam",at://did:plc:rxq4xbzeebgjtk3whhviwd2u/app.bsky.feed.post/3lxrlnfus7c2e
apply,apliquei vaga,calque,did:plc:oftp5u5vnt4haom6oplg6g5n,bubigrin.bsky.social,2025-08-27T15:13:44.392Z,2025,"queria entender tbm, apliquei pq não tinha nenhuma vaga no meu perfil e recebi email falando que não tem nehuma vaga no meu perfil ✨",at://did:plc:oftp5u5vnt4haom6oplg6g5n/app.bsky.feed.post/3lxfcy3tg7j2k
apply,apliquei vaga,calque,did:plc:rpahlsibbxmc2xzjobzhujfn,defrentecommahi.bsky.social,2025-08-20T12:56:41.695Z,2025,"Hahaha real. Outro dia apliquei pra uma vaga que não aceitava CV, só cover letter. Pelo menos é menos cara-crachá, mas ainda assim um saco ter que escrever.",at://did:plc:rpahlsibbxmc2xzjobzhujfn/app.bsky.feed.post/3lwti2l4vss2v
apply,apliquei vaga,calque,did:plc:upkenv7yrmseoiwpnqaebism,triss.bsky.social,2025-08-18T19:22:46.134Z,2025,apliquei pra essa vaga e eu espero que eu consiga,at://did:plc:upkenv7yrmseoiwpnqaebism/app.bsky.feed.post/3lwp4p3jybk2g
apply,apliquei vaga,calque,did:plc:uiyued7uxnpdx3o75kpt4ryd,lucasvt.bsky.social,2025-08-14T14:38:00.152Z,2025,gente quase q me apliquei pra vaga em bet ai fui ler e me assustei….. imagina…… (não ligaria de ser feito de laranja e lucrar por um tempo,at://did:plc:uiyued7uxnpdx3o75kpt4ryd/app.bsky.feed.post/3lwekw7a5ys27
apply,apliquei vaga,calque,did:plc:c3icksxklv32fnxjk5j6eay2,jhenriquefreire.bsky.social,2025-08-13T19:23:52.430Z,2025,"Na saga de arrumar emprego de novo aqui na Colômbia: Uma empresa me chamou. Fiz o processo. Eu já tenho uma recusa de vaga registrada na empresa por ""ser incompatível com a carga de trabalho"". Sendo que eu apliquei pra uma vaga em Junho, eles nunca me retornaram ou deram feedback. FODA",at://did:plc:c3icksxklv32fnxjk5j6eay2/app.bsky.feed.post/3lwckghhfic2j
apply,apliquei vaga,calque,did:plc:ksses2vr6hn6iujmoadkrrs5,firippukun.bsky.social,2025-08-04T01:33:51.186Z,2025,apliquei pra uma vaga jurando que era pra uma grande marrca de cosméticos mas era pra uma agência arrombada com nome parecido,at://did:plc:ksses2vr6hn6iujmoadkrrs5/app.bsky.feed.post/3lvk2gta74k2r
apply,apliquei vaga,calque,did:plc:oslqgp7ow5hkvkbhj6plsbrr,nykot.bsky.social,2025-07-31T17:44:28.828Z,2025,"Eu tô achando mais fácil aplicar pra vaga na gringa do que aqui, essa semana tava procurando uma outra vaga só pra ver, apliquei pra umas 5 grinfas e umas 20+ br, as gringas comecei a aplicar essa semana, já tenho entrevista marcada semana que vem, nenhuma br retornou, todas pra mesma posição...",at://did:plc:oslqgp7ow5hkvkbhj6plsbrr/app.bsky.feed.post/3lvbosr4yf22s
apply,apliquei vaga,calque,did:plc:ocbs2gfetzyohngqugzlawrc,reddish.bsky.social,2025-07-17T20:31:38.403Z,2025,apliquei para uma vaga e no formulário na parte de neurodiversidade tinha a opção de TAB!!! me senti inclusa (não vai dar em nada a vaga quer ver),at://did:plc:ocbs2gfetzyohngqugzlawrc/app.bsky.feed.post/3lu6rmrmsak2u
apply,apliquei vaga,calque,did:plc:aj7kzfyswuvaa34nz5ftsez3,tahrodriguess.bsky.social,2025-07-11T21:02:35.265Z,2025,"Se eu apliquei pra uma vaga e eles me recusaram, mas a vaga tá aberta ainda será que posso aplicar de novo?",at://did:plc:aj7kzfyswuvaa34nz5ftsez3/app.bsky.feed.post/3ltpqklpfvk2w
apply,apliquei vaga,calque,did:plc:3nhvuhc5etli3tvyrknajvva,adelcy.bsky.social,2025-06-18T17:15:47.043Z,2025,"Eu quando apliquei pra uma vaga numa cidade vizinha, aí quando me chamaram eu recusei 😅",at://did:plc:3nhvuhc5etli3tvyrknajvva/app.bsky.feed.post/3lrvj5ubyqk2l
apply,apliquei vaga,calque,did:plc:ls2mtft6b3hdofeovvrwmbnq,geohrgy.chocofrango.com.br,2025-06-17T00:51:53.512Z,2025,"Tipo, eles literalmente começaram a mensagem falando que a outra vaga q apliquei tinha sido preenchida, 1a resposta da vaga q eu tive Tudo bem q eles n tem obrigação de saber do meu status profissional, mas nesse ponto podiam so pressupor q eu n teria mais interesse nessas vagas",at://did:plc:ls2mtft6b3hdofeovvrwmbnq/app.bsky.feed.post/3lrrbpm2u4s2v
apply,apliquei vaga,calque,did:plc:ls2mtft6b3hdofeovvrwmbnq,geohrgy.chocofrango.com.br,2025-06-17T00:44:57.143Z,2025,"Apliquei pra uma vaga de jr no começo ano passado Desde entao peguei vaga de pleno, me formei, assumi um time... Hj os caras me mandam uma mensagem falando que gostaram do meu currículo e querem me oferecer uma vaga De junior 🤡",at://did:plc:ls2mtft6b3hdofeovvrwmbnq/app.bsky.feed.post/3lrrbd6ycqs2v
apply,apliquei vaga,calque,did:plc:dqzpjzg3ujhj2vwv4dnyzu2q,jambs.bsky.social,2025-06-16T23:13:39.045Z,2025,"Aplicar no sentido de se candidatar (""eu apliquei pra uma vaga de emprego"")",at://did:plc:dqzpjzg3ujhj2vwv4dnyzu2q/app.bsky.feed.post/3lrr47wnzoc2f
apply,apliquei vaga,calque,did:plc:rggiix6qvthkk5exiewyeeux,xolienne.bsky.social,2025-06-16T18:47:20.053Z,2025,"me apliquei pra uma vaga freela e os caras me mandaram um forms com 31 perguntas, sendo que a maioria é dissertativa vai pro inferno, na moral",at://did:plc:rggiix6qvthkk5exiewyeeux/app.bsky.feed.post/3lrqndpvud226
apply,apliquei vaga,calque,did:plc:5hhlwmv33colva4762ufqqgh,bonilha.bsky.social,2025-06-09T19:51:02.678Z,2025,"Apliquei numa vaga naquela famosa empresa que te dá score de crédito ou suja o nome e eles mandaram que ""revisaram o(s) seu(s) requisito(s) de elegibilidade/técnico e o(a) XXX não foi preenchido"". Não sabia que precisava ter alguma putaria específica para concorrer à vaga.",at://did:plc:5hhlwmv33colva4762ufqqgh/app.bsky.feed.post/3lr75n77ukc2s
apply,apliquei vaga,calque,did:plc:daeu5hnq2bvn4p2bwq43x2n3,ichbinre.bsky.social,2025-06-09T16:23:13.074Z,2025,"Tive uma manhã mt produtiva: fiz café, apliquei pra vaga de emprego, refiz curriculo, descobri fofoca e desenterrei um antigo nome do Design Ufrgs  Agora vou deitar e ficar 2 horas vendo shorts pixelados no YouTube",at://did:plc:daeu5hnq2bvn4p2bwq43x2n3/app.bsky.feed.post/3lr6rzlbruk2l
apply,apliquei vaga,calque,did:plc:253vuxzijuc3xrt7zech2b34,elonsaur.com,2025-05-27T20:21:25.786Z,2025,apliquei pra uma vaga de emprego no Serasa e agora eles começaram a me mandar um newsletter no meu email.......,at://did:plc:253vuxzijuc3xrt7zech2b34/app.bsky.feed.post/3lq6jbkuxhc2t
apply,apliquei vaga,calque,did:plc:yhenowhtcwgkycvamw7eecgl,anapaulaskl.bsky.social,2025-05-22T01:34:04.893Z,2025,"apliquei - mentira! Me candidatei - pra uma vaga para a qual sou extremamente compatível. Tive um total de zero resposta. O recrutador é meu amigo e não falou nem ""amiga, tinha uma porrada de gente melhor"".",at://did:plc:yhenowhtcwgkycvamw7eecgl/app.bsky.feed.post/3lppxx46xv22l
apply,apliquei vaga,calque,did:plc:52h7vq64fihkspmuixam266z,alaura.bsky.social,2025-04-30T02:53:52.960Z,2025,"apliquei pra uma vaga hoje que nem tenho os requisitos todos mas já desenvolvi algo parecido e tamos aí pra aprender, joguei a pretensão salarial lá embaixo. tomara que cole.",at://did:plc:52h7vq64fihkspmuixam266z/app.bsky.feed.post/3lnys5kcth22j
apply,apliquei vaga,calque,did:plc:imq3d4taq4bts7v7wynrbfwj,matheusfreire.neocities.org,2025-04-07T16:35:52.778Z,2025,"em vez de falar ""eu apliquei pra vaga"" vamos forçar os gringo a falar ""i candidated me to the job""",at://did:plc:imq3d4taq4bts7v7wynrbfwj/app.bsky.feed.post/3lmafe7qtdc2t
apply,apliquei vaga,calque,did:plc:4gfcl2pmeskavkl5kw6gae3r,incipitvitanova.bsky.social,2025-04-06T19:11:07.742Z,2025,"Pq de repente todo mundo passou a dizer ""apliquei para a vaga""? Quando foi que ""me candidatei"" foi substituído por isso?",at://did:plc:4gfcl2pmeskavkl5kw6gae3r/app.bsky.feed.post/3lm65kvq7uc2s
apply,apliquei vaga,calque,did:plc:5growevgn4q4rd4cotgguzo3,delicious.regisarimajunior.com.br,2025-03-27T20:06:48.285Z,2025,"bom, lá por set/24 apliquei pruma vaga, DO LADO DE CASA, passei nas fases, fui avançando e chegou nov/24: mais nada de updates. a situação da vida apertou e fiz todo o corre pra entregar apto e os caralho. eis q HOJE chega emeio deles pedindo documentos?!?!?!?! timing (ou a falha dele) is a bitch",at://did:plc:5growevgn4q4rd4cotgguzo3/app.bsky.feed.post/3llf3zaw3ss25
apply,apliquei vaga,calque,did:plc:s2czvntsw4xsjeoiy6oiewtf,hellribeiro.bsky.social,2025-03-15T18:11:53.252Z,2025,"Eu apliquei pra uma vaga. Só se aplicou um monte de mentiras no currículo, a palavra candidatura existe pelo amor de Deus",at://did:plc:s2czvntsw4xsjeoiy6oiewtf/app.bsky.feed.post/3lkgpyprd722s
